"","x","class","predicted","std.error","conf.low","conf.high"
"101",1998,"Conventional Realists",0.25727295972081,0.0585848949329515,0.235949648283842,0.279817570638074
"102",1999,"Conventional Realists",0.307819808993826,0.0589154815244902,0.283776775065866,0.332952923140058
"103",2000,"Conventional Realists",0.304743042521325,0.0624710688085833,0.279437479022225,0.331286641798346
"104",2001,"Conventional Realists",0.3090054523266,0.062023932054147,0.283668309261446,0.335545611286784
"105",2002,"Conventional Realists",0.312270921794193,0.0608712532497169,0.287239459905081,0.338447947049035
"106",2003,"Conventional Realists",0.291657414210196,0.0592522479583989,0.268257712702674,0.316216182812517
"107",2004,"Conventional Realists",0.301426656312042,0.0573631354473939,0.278293320023007,0.325615371358045
"108",2005,"Conventional Realists",0.289413583726092,0.0584007137700083,0.266452353331343,0.313507821902956
"109",2006,"Conventional Realists",0.290278685052426,0.061176440938007,0.266210558258945,0.315586962509176
"110",2007,"Conventional Realists",0.300840233933742,0.0613512257347729,0.276168761998364,0.32672088170628
"111",2008,"Conventional Realists",0.283996700317867,0.0652649763072963,0.258718631983461,0.310709342095931
"112",2009,"Conventional Realists",0.294997020446422,0.0651553078516037,0.269150111243325,0.322231682724568
"113",2010,"Conventional Realists",0.294512228009385,0.0631323350563857,0.269471419920794,0.320857949189703
"114",2011,"Conventional Realists",0.314185871391824,0.062507450630873,0.288406837093032,0.341164406826365
"115",2012,"Conventional Realists",0.27876817863977,0.0672354267589468,0.253059839951649,0.306018220249921
"116",2013,"Conventional Realists",0.275536153236717,0.0686963700225902,0.249486015121612,0.303207430623972
"117",2014,"Conventional Realists",0.306383939525463,0.0701146231019103,0.277980396191242,0.336337766170785
"118",1976,"Dual-earners",0.0541534215012167,0.103697644949042,0.0446380828606367,0.0655579229603812
"119",1977,"Dual-earners",0.0614296994471672,0.0850549765217105,0.0524922772548753,0.071773553417797
"120",1978,"Dual-earners",0.0684525236291302,0.076030192985003,0.0595398647476622,0.0785878524905159
"121",1979,"Dual-earners",0.0625830005711177,0.0826788347965525,0.053723612546534,0.072790978455986
"122",1980,"Dual-earners",0.072566294647125,0.0764139620696047,0.0631098384639752,0.0833137129705087
"123",1981,"Dual-earners",0.0761651990501265,0.0708046024617084,0.0669568487377205,0.0865225082357706
"124",1982,"Dual-earners",0.080626903354313,0.0701763308095886,0.0710017243239656,0.0914284818950383
"125",1983,"Dual-earners",0.0836904598963808,0.0700326623054995,0.073748117600109,0.0948359409750241
"126",1984,"Dual-earners",0.0853135055974538,0.0701733661743252,0.0751749948698927,0.0966764171824495
"127",1985,"Dual-earners",0.0893322498992145,0.0695061507922137,0.0788522128421684,0.10105235874884
"128",1986,"Dual-earners",0.0937097632407309,0.0689775754995942,0.0828415283048613,0.105839294973151
"129",1987,"Dual-earners",0.10439268685804,0.0641548926047769,0.0932076480518115,0.116747137645714
"130",1988,"Dual-earners",0.1176940108691,0.059961458764947,0.106027824733306,0.13045650329382
"131",1989,"Dual-earners",0.130393713927989,0.0630750712893714,0.117004574227787,0.145063297278556
"132",1990,"Dual-earners",0.11936815764927,0.0693377309685072,0.105804949475572,0.134408697798204
"133",1991,"Dual-earners",0.134419512550006,0.0660425659327843,0.12005855154649,0.150205051246124
"134",1992,"Dual-earners",0.132228344580825,0.0648281097435766,0.118317632019875,0.147500942408264
"135",1993,"Dual-earners",0.1208068262537,0.066223082526833,0.107685212125415,0.135284920336621
"136",1994,"Dual-earners",0.111379907130363,0.0711309205395226,0.098310720575394,0.125943809320376
"137",1995,"Dual-earners",0.140157312990437,0.064824413755628,0.125533919359499,0.156179938759418
"138",1996,"Dual-earners",0.141599350077989,0.0664697252111071,0.126490961216217,0.158185526181565
"139",1997,"Dual-earners",0.125620989825931,0.0703003815567053,0.11125052095527,0.141552073848171
"140",1998,"Dual-earners",0.136706264758829,0.0684729112079929,0.12162566256145,0.153330332277459
"141",1999,"Dual-earners",0.120140877284817,0.0766151993824961,0.105150790162612,0.136940897765433
"142",2000,"Dual-earners",0.10748692287785,0.084198209240415,0.0926501580064685,0.124373933382385
"143",2001,"Dual-earners",0.118263886798429,0.0808110803608957,0.102719995807357,0.135803925917129
"144",2002,"Dual-earners",0.125558958881894,0.0782425747025148,0.109665534237626,0.143384809923601
"145",2003,"Dual-earners",0.133825771562134,0.0723757080455975,0.118219393414148,0.151139250772303
"146",2004,"Dual-earners",0.118357152859545,0.0744912205256675,0.10395054255142,0.134460776900028
"147",2005,"Dual-earners",0.106998259986302,0.0779031098999532,0.0932601024710781,0.122486806633253
"148",2006,"Dual-earners",0.114822994456703,0.077767849143881,0.100216795975852,0.131247470021352
"149",2007,"Dual-earners",0.116433943909638,0.0774094020626201,0.101710524535603,0.13297319714458
"150",2008,"Dual-earners",0.128058693777612,0.0789066039069664,0.111760074619984,0.146342623447112
"151",2009,"Dual-earners",0.130111242334449,0.0805753916436828,0.113256519689759,0.149052647562808
"152",2010,"Dual-earners",0.137962280079467,0.0748146705531226,0.121430517164398,0.156344193546661
"153",2011,"Dual-earners",0.121321573433255,0.0783548757584638,0.105878726120479,0.138667502795205
"154",2012,"Dual-earners",0.14218375462255,0.0776060788098598,0.124621550021323,0.161763549494122
"155",2013,"Dual-earners",0.165630008510431,0.0759734868506479,0.146062199813943,0.187244480571032
"156",2014,"Dual-earners",0.132895404960105,0.0837989744923146,0.115083005749003,0.152988146100502
"157",1976,"Intensive Parents",0.0578645563083035,0.102898708585165,0.0478012603576073,0.069890912702615
